Date,Open,High,Low,Close,Volume
2024-01-01T09:30:00,175.0,175.29,173.66,174.18,3860305
2024-01-01T10:30:00,174.18,175.25,173.0,175.19,943960
2024-01-01T11:30:00,175.19,177.13,173.75,177.07,1459475
2024-01-01T12:30:00,177.07,178.57,176.46,177.88,2020964
2024-01-01T13:30:00,177.88,178.52,175.67,176.45,3690872
2024-01-01T14:30:00,176.45,176.51,175.46,175.91,2702128
2024-01-01T15:30:00,175.91,176.69,174.96,176.57,902505
2024-01-01T16:30:00,176.57,177.41,175.94,176.03,1806888
2024-01-01T17:30:00,176.03,176.91,175.75,176.6,2193370
2024-01-01T18:30:00,176.6,177.06,174.52,174.75,1411590
2024-01-01T19:30:00,174.75,175.56,171.98,173.07,1797446
2024-01-01T20:30:00,173.07,173.52,172.38,172.85,4485514
2024-01-01T21:30:00,172.85,174.16,172.21,173.92,3194666
2024-01-01T22:30:00,173.92,175.09,173.56,174.95,2573163
2024-01-01T23:30:00,174.95,175.27,172.16,173.12,810755
2024-01-02T00:30:00,173.12,173.53,171.69,172.18,3332357
2024-01-02T01:30:00,172.18,172.52,171.32,171.82,779114
2024-01-02T02:30:00,171.82,174.48,171.76,173.68,1406969
2024-01-02T03:30:00,173.68,174.79,172.99,174.46,4217820
2024-01-02T04:30:00,174.46,177.61,174.27,176.54,1385477
2024-01-02T05:30:00,176.54,178.86,176.19,177.84,2128863
2024-01-02T06:30:00,177.84,179.55,177.29,178.24,1520959
2024-01-02T07:30:00,178.24,178.81,178.12,178.67,2835472
2024-01-02T08:30:00,178.67,178.96,176.23,177.64,3459240
2024-01-02T09:30:00,177.64,178.55,177.04,178.26,1962126
2024-01-02T10:30:00,178.26,178.71,175.6,176.26,3977593
2024-01-02T11:30:00,176.26,178.89,176.09,178.52,1734475
2024-01-02T12:30:00,178.52,179.52,178.44,179.42,4967364
2024-01-02T13:30:00,179.42,180.21,178.88,179.15,1588008
2024-01-02T14:30:00,179.15,179.33,176.03,177.44,4008845
2024-01-02T15:30:00,177.44,177.51,175.27,175.32,2427886
2024-01-02T16:30:00,175.32,175.99,172.44,172.97,3687377
2024-01-02T17:30:00,172.97,174.22,172.2,173.44,1251647
2024-01-02T18:30:00,173.44,175.04,173.28,174.76,785307
2024-01-02T19:30:00,174.76,174.87,173.58,174.84,4591910
2024-01-02T20:30:00,174.84,175.25,172.49,173.25,3857849
2024-01-02T21:30:00,173.25,175.23,173.06,174.39,4425799
2024-01-02T22:30:00,174.39,178.78,174.25,178.65,1846487
2024-01-02T23:30:00,178.65,178.83,177.01,177.89,4581775
2024-01-03T00:30:00,177.89,179.89,177.76,178.7,1533904
2024-01-03T01:30:00,178.7,178.78,178.46,178.47,4186349
2024-01-03T02:30:00,178.47,179.52,177.75,179.01,864882
2024-01-03T03:30:00,179.01,180.04,177.53,177.58,2427810
2024-01-03T04:30:00,177.58,177.79,174.76,175.56,3525037
2024-01-03T05:30:00,175.56,176.67,172.11,173.49,1392504
2024-01-03T06:30:00,173.49,174.11,172.29,172.43,4192968
2024-01-03T07:30:00,172.43,175.54,171.28,174.77,3007354
2024-01-03T08:30:00,174.77,175.1,172.72,174.04,2157839
2024-01-03T09:30:00,174.04,175.38,173.82,174.72,2313511
2024-01-03T10:30:00,174.72,176.09,173.01,173.29,4901256
2024-01-03T11:30:00,173.29,173.99,172.73,173.51,934163
2024-01-03T12:30:00,173.51,174.24,173.21,173.21,4285544
2024-01-03T13:30:00,173.21,173.4,169.43,170.42,3878128
2024-01-03T14:30:00,170.42,171.1,169.49,170.12,2470778
2024-01-03T15:30:00,170.12,171.42,168.84,169.13,3324138
2024-01-03T16:30:00,169.13,170.67,169.05,170.12,4805387
2024-01-03T17:30:00,170.12,170.16,168.75,169.06,3074826
2024-01-03T18:30:00,169.06,171.92,168.88,170.85,514169
2024-01-03T19:30:00,170.85,171.82,170.06,171.75,4655564
2024-01-03T20:30:00,171.75,172.32,169.18,170.5,4477690
2024-01-03T21:30:00,170.5,170.93,168.06,168.43,826973
2024-01-03T22:30:00,168.43,169.18,167.48,168.72,1491932
