Date,Open,High,Low,Close,Volume
2024-01-01T09:30:00,145.0,146.54,144.73,145.24,2633013
2024-01-01T10:30:00,145.24,145.38,144.2,145.0,1268850
2024-01-01T11:30:00,145.0,145.03,144.33,144.45,1831533
2024-01-01T12:30:00,144.45,144.65,143.56,144.53,4194319
2024-01-01T13:30:00,144.53,146.04,143.99,144.69,3570353
2024-01-01T14:30:00,144.69,146.13,144.18,145.97,3619502
2024-01-01T15:30:00,145.97,146.85,145.03,145.87,921226
2024-01-01T16:30:00,145.87,148.5,145.44,147.92,2482615
2024-01-01T17:30:00,147.92,149.76,147.79,148.23,4810012
2024-01-01T18:30:00,148.23,148.64,146.4,148.42,894656
2024-01-01T19:30:00,148.42,152.04,147.87,151.31,2318931
2024-01-01T20:30:00,151.31,153.55,151.23,152.67,2678611
2024-01-01T21:30:00,152.67,152.93,151.47,152.45,2809301
2024-01-01T22:30:00,152.45,155.28,152.35,154.4,2164442
2024-01-01T23:30:00,154.4,154.83,153.85,153.98,4663667
2024-01-02T00:30:00,153.98,155.41,153.84,154.84,2236833
2024-01-02T01:30:00,154.84,155.23,154.17,154.78,2707650
2024-01-02T02:30:00,154.78,156.34,153.79,155.64,601625
2024-01-02T03:30:00,155.64,158.07,154.34,157.52,3129381
2024-01-02T04:30:00,157.52,158.91,155.49,156.31,1381001
2024-01-02T05:30:00,156.31,158.41,155.95,157.61,3784227
2024-01-02T06:30:00,157.61,158.42,157.27,158.27,4770944
2024-01-02T07:30:00,158.27,160.48,158.06,159.53,813755
2024-01-02T08:30:00,159.53,160.44,157.57,157.7,2130046
2024-01-02T09:30:00,157.7,158.92,156.61,158.77,3299194
2024-01-02T10:30:00,158.77,158.94,158.09,158.57,551862
2024-01-02T11:30:00,158.57,159.5,158.5,158.92,4822911
2024-01-02T12:30:00,158.92,159.41,158.03,159.1,1793538
2024-01-02T13:30:00,159.1,162.14,158.56,161.66,4378244
2024-01-02T14:30:00,161.66,162.92,160.91,160.97,4468030
2024-01-02T15:30:00,160.97,161.78,160.91,161.33,3245592
2024-01-02T16:30:00,161.33,162.22,161.01,161.65,4612710
2024-01-02T17:30:00,161.65,165.81,161.35,165.44,2514125
2024-01-02T18:30:00,165.44,165.68,164.52,165.63,1258138
2024-01-02T19:30:00,165.63,165.73,163.35,163.93,1212908
2024-01-02T20:30:00,163.93,163.98,163.33,163.85,665917
2024-01-02T21:30:00,163.85,164.71,163.41,163.72,3029864
2024-01-02T22:30:00,163.72,163.78,162.11,162.43,2421789
2024-01-02T23:30:00,162.43,164.32,162.01,163.8,3544364
2024-01-03T00:30:00,163.8,166.25,162.78,165.84,4241297
2024-01-03T01:30:00,165.84,167.98,164.9,166.76,2191043
2024-01-03T02:30:00,166.76,167.81,166.75,167.71,2349902
2024-01-03T03:30:00,167.71,169.27,167.65,168.18,3820193
2024-01-03T04:30:00,168.18,168.44,164.09,165.6,1798965
2024-01-03T05:30:00,165.6,166.0,163.66,164.46,3644147
2024-01-03T06:30:00,164.46,165.42,164.26,164.86,2141463
2024-01-03T07:30:00,164.86,166.1,164.68,165.85,4853745
2024-01-03T08:30:00,165.85,167.63,163.89,164.88,4848969
2024-01-03T09:30:00,164.88,165.1,163.9,164.57,2824937
2024-01-03T10:30:00,164.57,166.09,163.81,165.27,2645862
2024-01-03T11:30:00,165.27,166.57,163.28,164.41,1281235
2024-01-03T12:30:00,164.41,164.53,162.79,164.18,1661464
2024-01-03T13:30:00,164.18,164.42,164.08,164.26,3539624
2024-01-03T14:30:00,164.26,165.33,163.21,163.83,2925169
2024-01-03T15:30:00,163.83,166.93,162.93,166.4,897533
2024-01-03T16:30:00,166.4,167.32,165.94,166.69,3666896
2024-01-03T17:30:00,166.69,167.3,166.38,166.87,544119
2024-01-03T18:30:00,166.87,167.79,164.95,165.32,4845629
